datetime,USD_HKD,CHF_ZAR,EUR_ZAR,AUD_JPY,AUD_USD,USD_NOK,CAD_CHF,USD_CAD,EUR_AUD,EUR_SGD,NZD_SGD,ZAR_JPY,SGD_JPY,GBP_ZAR,USD_JPY,EUR_TRY,EUR_JPY,AUD_SGD,EUR_NZD,GBP_HKD,CHF_JPY,EUR_HKD,USD_THB,GBP_CHF,AUD_CHF,NZD_CHF,AUD_HKD,USD_CHF,CAD_HKD,CAD_JPY,AUD_NZD,USD_ZAR,USD_DKK,EUR_DKK,GBP_AUD,USD_PLN,NZD_USD,EUR_USD,USD_HUF,EUR_CAD,HKD_JPY,GBP_CAD,EUR_HUF,USD_SEK,GBP_SGD,EUR_PLN,AUD_CAD,USD_MXN,GBP_USD,CAD_SGD,NZD_HKD,EUR_CZK,EUR_CHF,USD_CNH,SGD_CHF,NZD_JPY,GBP_PLN,NZD_CAD,CHF_HKD,EUR_GBP,USD_CZK,EUR_NOK,EUR_SEK,USD_SGD,GBP_NZD,GBP_JPY,USD_TRY,TRY_JPY
2024-08-05T08:00:00.000000000Z,7.78332,21.76249,20.2609,91.848,0.64499,11.03917,0.61252,1.38798,1.6979,1.44689,0.78286,7.696,107.778,23.61175,142.402,36.5535,155.95,0.85218,1.84823,9.93348,167.501,8.5236,35.266,1.08501,0.54834,0.50372,5.02005,0.85014,5.60776,102.596,1.08858,18.50059,6.81361,7.4616,1.97874,3.9345,0.59252,1.09512,363.99,1.51993,18.29611,1.77134,398.61,10.5654,1.68624,4.3088,0.8952,19.75444,1.27625,0.95197,4.61168,25.3368,0.93103,7.12934,0.64346,84.372,5.0215,0.8224,9.15526,0.85807,23.1359,12.0901,11.56946,1.32124,2.15396,181.738,33.3317,4.266
2024-08-05T09:00:00.000000000Z,7.78028,21.93317,20.40324,91.778,0.64498,11.05244,0.61236,1.38714,1.69791,1.44664,0.78367,7.638,107.721,23.7432,142.293,36.57348,155.831,0.852,1.84598,9.91544,167.522,8.52042,35.224,1.0825,0.54787,0.50392,5.01824,0.84941,5.609,102.584,1.0872,18.6308,6.81268,7.46076,1.97587,3.93201,0.59328,1.09514,363.732,1.51907,18.28892,1.76776,398.343,10.59239,1.68344,4.30618,0.89466,19.70408,1.27442,0.95232,4.61566,25.25085,0.93022,7.11133,0.64301,84.418,5.0111,0.8229,9.1597,0.85934,23.0575,12.1046,11.60028,1.32096,2.14821,181.346,33.35173,4.26
2024-08-05T10:00:00.000000000Z,7.78102,21.919,20.38068,91.916,0.64558,11.02482,0.61302,1.38546,1.69596,1.44662,0.78473,7.648,107.759,23.74876,142.38,36.56573,155.888,0.85297,1.84344,9.92686,167.647,8.51905,35.246,1.08346,0.54826,0.5044,5.02298,0.84924,5.61622,102.768,1.08695,18.61658,6.81424,7.46064,1.97624,3.93409,0.59392,1.09486,364.16,1.51682,18.29863,1.76751,398.696,10.5679,1.68568,4.30718,0.89438,19.73424,1.27578,0.95371,4.62124,25.25785,0.9298,7.10542,0.64276,84.562,5.01882,0.82284,9.16192,0.85818,23.07,12.07055,11.5702,1.32128,2.14807,181.645,33.34868,4.264
2024-08-05T11:00:00.000000000Z,7.78186,21.9177,20.37903,91.696,0.64434,11.02953,0.61238,1.38492,1.70146,1.4468,0.78363,7.656,107.838,23.7298,142.31,36.63168,156.016,0.85032,1.8463,9.9345,167.812,8.53133,35.308,1.08264,0.54642,0.50358,5.01408,0.84808,5.61919,102.761,1.08512,18.5886,6.8053,7.46066,1.98132,3.93152,0.5938,1.09629,363.419,1.51822,18.28775,1.76793,398.41,10.49972,1.68475,4.31001,0.8923,19.75418,1.27662,0.95296,4.62066,25.31475,0.9297,7.08635,0.64262,84.504,5.01886,0.82231,9.17638,0.85875,23.08975,12.09215,11.51095,1.3197,2.14993,181.678,33.36364,4.261
2024-08-05T12:00:00.000000000Z,7.77853,22.0541,20.46855,91.596,0.64389,11.02932,0.6104,1.38348,1.70702,1.45089,0.7832,7.638,107.762,23.74934,142.25,36.78175,156.354,0.85,1.8525,9.9194,168.447,8.5496,35.336,1.07686,0.54374,0.50104,5.00854,0.84448,5.6226,102.824,1.08525,18.62389,6.78815,7.46104,1.98049,3.92273,0.5933,1.09912,362.566,1.5206,18.28751,1.76417,398.512,10.49779,1.68337,4.31152,0.89079,19.55458,1.27524,0.95418,4.61513,25.27575,0.92813,7.0943,0.63974,84.399,5.00251,0.82082,9.211,0.8619,22.99785,12.12218,11.53826,1.32004,2.1493,181.404,33.40305,4.252
2024-08-05T13:00:00.000000000Z,7.78287,21.89778,20.39363,92.73,0.64962,10.99256,0.61364,1.38246,1.69003,1.45072,0.78688,7.688,108.106,23.73207,142.736,36.7496,156.752,0.85832,1.84358,9.94706,168.255,8.54561,35.245,1.08414,0.55116,0.50524,5.05658,0.84828,5.62979,103.246,1.0907,18.57703,6.79554,7.46144,1.96668,3.927,0.59559,1.09796,362.551,1.51791,18.33948,1.76632,398.016,10.50757,1.68738,4.3117,0.89815,19.69232,1.27766,0.95565,4.63512,25.26575,0.93104,7.10647,0.64226,85.009,5.011,0.82334,9.17438,0.85916,23.0119,12.0696,11.53729,1.32134,2.1453,182.353,33.4153,4.265
2024-08-05T14:00:00.000000000Z,7.7828,21.86576,20.38024,92.364,0.64743,11.03618,0.61344,1.3839,1.69586,1.45072,0.78366,7.686,107.972,23.68266,142.662,36.7517,156.634,0.85544,1.85126,9.92984,168.054,8.54512,35.283,1.08312,0.5496,0.50346,5.03874,0.84889,5.62396,103.092,1.09163,18.5628,6.796,7.46167,1.97072,3.9191,0.59308,1.09795,361.616,1.5194,18.3309,1.76563,397.028,10.53238,1.6858,4.30294,0.89596,19.6017,1.27588,0.95482,4.61582,25.2588,0.93204,7.10896,0.64248,84.612,5.00026,0.82074,9.16798,0.86054,23.0053,12.11704,11.56356,1.32132,2.15124,182.017,33.41944,4.262
2024-08-05T15:00:00.000000000Z,7.7853,21.73822,20.31259,93.398,0.64874,11.04415,0.61714,1.38201,1.68882,1.44941,0.78439,7.766,108.826,23.66334,143.966,36.6317,157.738,0.85826,1.84784,9.93708,168.803,8.52985,35.396,1.08857,0.5533,0.50568,5.05074,0.85285,5.63356,104.174,1.09416,18.5393,6.81022,7.46156,1.96746,3.92055,0.5929,1.09563,362.198,1.51415,18.49196,1.76391,396.827,10.56325,1.68852,4.2954,0.89655,19.45035,1.2764,0.95726,4.61607,25.26645,0.93443,7.13044,0.64468,85.36,5.0042,0.81938,9.12853,0.85838,23.0636,12.10138,11.5734,1.32288,2.15274,183.757,33.38104,4.305
2024-08-05T16:00:00.000000000Z,7.78766,21.71027,20.30756,93.444,0.64808,11.04863,0.61658,1.38422,1.69118,1.4512,0.78464,7.782,108.896,23.65502,144.186,36.5671,158.033,0.8581,1.8495,9.942,168.945,8.53522,35.444,1.08956,0.55308,0.50576,5.04695,0.85346,5.62615,104.167,1.09357,18.52864,6.80788,7.4614,1.96993,3.91838,0.59263,1.096,362.24,1.51706,18.51521,1.76712,397.016,10.55906,1.69038,4.29448,0.89706,19.35114,1.27666,0.95658,4.61488,25.27245,0.93542,7.13346,0.64456,85.446,5.00229,0.82027,9.12481,0.8585,23.0586,12.10938,11.57276,1.32408,2.15435,184.077,33.32288,4.32
2024-08-05T17:00:00.000000000Z,7.78728,21.73356,20.27686,93.502,0.64922,11.04114,0.6158,1.38327,1.6871,1.45065,0.7853,7.78,108.748,23.61706,144.019,36.5511,157.75,0.85983,1.84722,9.93462,169.082,8.52982,35.422,1.08664,0.553,0.50507,5.05577,0.85178,5.62994,104.122,1.09492,18.51262,6.81236,7.4619,1.965,3.9238,0.59296,1.09534,362.36,1.51512,18.49445,1.76462,396.92,10.5618,1.68956,4.29806,0.89806,19.38691,1.27575,0.95746,4.61762,25.29145,0.93302,7.13381,0.64316,85.398,5.00598,0.8202,9.1424,0.85859,23.09015,12.09364,11.5686,1.3244,2.15147,183.732,33.33118,4.315
